CensusTract,State,County,Urban,POP2010,OHU2010,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20
48453001738,Texas,Travis,True,6647,2679,False,False,False,False,False,4.8,111723,True,True,True,True,True,False,False
48453001740,Texas,Travis,True,4114,1688,False,False,False,False,False,7,95806,False,True,False,True,False,False,False
48453001741,Texas,Travis,True,3645,1620,False,False,False,False,False,6.4,105595,True,True,True,True,True,False,False
48453001742,Texas,Travis,False,5453,2053,False,False,False,False,False,18.3999999999999,89853,False,False,False,False,False,False,False
48453001745,Texas,Travis,True,2322,1008,False,False,False,False,False,8.8,93611,True,True,True,True,True,False,False
48453001746,Texas,Travis,True,3916,1662,False,False,False,False,False,7.4,74722,False,True,False,True,False,False,False
48453001747,Texas,Travis,True,5105,1989,False,False,False,False,False,16.5,70281,False,True,False,True,False,False,False
48453001748,Texas,Travis,True,5492,2268,False,False,False,False,False,9.69999999999999,81700,False,True,False,True,False,False,False
48453001749,Texas,Travis,True,5989,2913,False,False,False,False,False,7.8,85096,False,True,False,True,False,False,False
48453001750,Texas,Travis,True,4947,2542,False,False,False,False,False,13.9,87847,False,True,False,True,False,False,False
48453001751,Texas,Travis,True,2065,930,False,False,False,False,False,3.5,128942,False,True,False,True,False,False,False
48453001752,Texas,Travis,True,3583,2307,False,True,False,True,True,31.5,35571,False,True,False,True,False,False,False
48453001753,Texas,Travis,True,1121,748,False,False,False,False,False,10.8,66250,False,False,False,False,False,False,False
48453001754,Texas,Travis,True,4599,2271,False,False,False,False,False,7.4,97778,True,True,True,True,True,False,False
48453001755,Texas,Travis,True,5769,1954,False,False,False,False,False,1.9,187222,True,True,True,True,True,False,False
48453001756,Texas,Travis,True,3997,1694,False,False,False,False,False,3.1,104306,False,True,False,True,False,False,False
48453001757,Texas,Travis,True,1934,889,False,False,False,False,False,4.9,145368,False,True,False,True,False,False,False
48453001760,Texas,Travis,True,14256,4631,False,False,False,False,False,2.3,133521,True,True,True,True,True,False,False
48453001761,Texas,Travis,True,7022,2976,False,False,False,False,False,6.2,155724,True,True,True,True,True,False,False
48453001764,Texas,Travis,False,5789,2396,False,False,False,False,False,5.5,114805,False,False,False,False,False,False,False
48453001765,Texas,Travis,True,12976,4572,False,False,False,False,False,4.5,134773,True,True,True,True,True,False,False
48453001766,Texas,Travis,False,6767,2540,False,False,False,False,False,11.4,69504,False,False,False,False,False,False,False
48453001768,Texas,Travis,False,5656,2199,False,False,False,False,False,4.2,112171,False,False,False,False,False,False,False
48453001769,Texas,Travis,True,5374,2137,False,False,False,False,False,5.8,85652,True,True,True,True,True,False,False
48453001770,Texas,Travis,True,11417,3629,False,False,False,False,False,1.5,136809,True,True,True,True,True,False,False
48453001771,Texas,Travis,True,4229,1745,False,False,False,False,False,3.9,126250,True,True,True,True,True,False,False
48453001772,Texas,Travis,True,3095,1161,False,False,False,False,False,7.3,80417,True,True,True,True,True,False,False
48453001773,Texas,Travis,True,5387,2114,False,False,False,False,False,4.7,146845,True,True,True,True,True,False,False
48453001774,Texas,Travis,True,8161,2795,False,False,False,False,False,3.1,99107,True,True,True,True,True,False,False
48453001775,Texas,Travis,False,4973,1597,False,False,False,False,False,1.1,136042,False,False,False,False,False,False,False
48453001776,Texas,Travis,True,2803,1141,False,False,False,False,False,8,81618,False,True,False,True,False,False,False
48453001777,Texas,Travis,True,5535,2327,False,False,False,False,False,6.9,91926,True,True,True,True,True,False,False
48453001778,Texas,Travis,True,3909,1660,False,False,False,False,False,9,115132,True,True,True,True,True,False,False
48453001779,Texas,Travis,True,5715,2397,False,False,False,False,False,6.1,85448,True,True,True,True,True,False,False
48453001780,Texas,Travis,False,3825,1664,False,False,False,False,False,8.19999999999999,80795,False,False,False,False,False,False,False
48453001781,Texas,Travis,True,2251,928,False,False,False,False,False,5.4,130104,True,True,True,True,True,False,False
48453001782,Texas,Travis,True,4955,1740,False,False,False,False,False,12.3,122284,True,True,True,True,True,False,False
48453001783,Texas,Travis,True,5180,1881,False,False,False,False,False,4,126107,True,True,True,True,True,False,False
48453001784,Texas,Travis,True,5552,1804,False,False,False,False,False,3,161607,True,True,True,True,True,False,False
48453001785,Texas,Travis,True,4025,2153,False,False,False,False,False,6.5,66545,False,True,False,True,False,False,False
48453001786,Texas,Travis,True,4676,2600,False,False,False,False,False,7.5,73005,False,True,False,True,False,False,False
48453001804,Texas,Travis,True,6362,2388,True,True,True,True,True,35.2999999999999,33119,True,True,True,True,True,False,False
48453001805,Texas,Travis,True,4750,1659,False,True,False,True,True,34,28538,False,True,False,True,False,False,False
48453001806,Texas,Travis,True,5550,2060,False,True,False,True,True,32.7,24866,False,True,False,True,False,False,False
48453001811,Texas,Travis,True,3546,1283,False,True,False,False,True,45.2999999999999,31462,False,True,False,True,False,False,False
48453001812,Texas,Travis,True,7549,2719,False,False,False,False,True,37,27056,False,False,False,False,False,False,False
48453001813,Texas,Travis,True,5853,1938,True,True,True,True,True,32.2,29556,True,True,True,True,True,False,False
48453001817,Texas,Travis,True,3616,2046,False,False,False,False,False,10.6999999999999,73047,False,True,False,True,False,False,False
48453001818,Texas,Travis,True,5341,2027,False,True,False,False,True,38.2999999999999,37075,False,True,False,True,False,False,False
48453001819,Texas,Travis,True,4265,1312,False,True,False,False,True,43.8999999999999,26429,False,True,False,True,False,False,False
48453001820,Texas,Travis,True,7812,2641,False,True,False,True,True,37.1,32102,False,True,False,True,False,False,False
48453001821,Texas,Travis,True,5204,1783,True,True,True,True,True,24.1,47632,True,True,True,True,True,False,False
48453001822,Texas,Travis,True,6573,2183,False,True,False,False,True,27.1,40086,False,True,False,True,False,False,False
48453001823,Texas,Travis,True,6478,1948,False,True,False,False,True,35.6,29757,False,True,False,True,False,False,False
48453001824,Texas,Travis,True,1734,784,False,True,False,False,True,12.3,59896,False,True,False,True,False,False,False
48453001826,Texas,Travis,True,2276,1137,False,False,False,False,False,8.3,72946,False,True,False,True,False,False,False
48453001828,Texas,Travis,True,3943,1660,False,False,False,False,False,2,106322,True,True,True,True,True,False,False
48453001829,Texas,Travis,True,2443,1407,False,False,False,False,False,6,77009,False,True,False,True,False,False,False
48453001832,Texas,Travis,True,2509,1116,True,True,True,False,True,21.8999999999999,36750,True,True,True,True,True,False,False
48453001833,Texas,Travis,True,7089,2275,True,True,True,True,True,29.6999999999999,51213,True,True,True,True,True,False,False
48453001834,Texas,Travis,True,8204,3549,False,False,False,False,False,10.8,66081,True,True,True,True,True,False,False
48453001835,Texas,Travis,True,5000,1819,True,True,True,False,True,30.8,46620,True,True,True,True,True,False,False
48453001839,Texas,Travis,True,7267,3116,False,False,False,False,False,10.1999999999999,72828,True,True,True,True,True,False,False
48453001840,Texas,Travis,True,9004,2899,False,False,False,False,False,15.6999999999999,62902,True,True,True,True,True,False,False
48453001841,Texas,Travis,True,16495,5149,False,False,False,False,False,12.4,80088,True,True,True,True,True,False,False
48453001842,Texas,Travis,False,7535,2445,False,False,False,False,True,14.5,57981,False,False,False,False,False,False,False
48453001843,Texas,Travis,True,2272,917,False,False,False,False,False,15.6,86250,True,True,True,True,True,False,False
48453001844,Texas,Travis,True,3668,1561,True,True,True,False,True,14.3,43562,True,True,True,True,True,False,False
48453001845,Texas,Travis,True,3111,1478,False,True,False,False,True,20.1,75444,False,True,False,True,False,False,False
48453001846,Texas,Travis,True,2379,992,False,False,False,False,False,12.1999999999999,101250,True,True,True,True,True,False,False
48453001847,Texas,Travis,True,6752,2921,False,False,False,False,False,16.1,69880,True,True,True,True,True,False,False
