CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
48453000307,Texas,Travis,True,1707,771,False,3,0.0017575,False,True,False,False,False,True,25.5,75260,False,True,False,True,False,False,False,False,0,575.830618349835,0,0,222.619447178207,0,575.830618349835,0.337334867223102,222.619447178207,0.130415610532049,103.029305910225,0.060356945465862,42.2185804795008,0.024732618910077,458.673696301877,0.268701638138182,36.5119030922651,0.021389515578363,9.33018488436937,0.005465837659267,1,0.000585823081429,2.24944607540965,0.001317777431406,68.0653891926631,0.039874276035538,122.658170752227,0.071855987552564,20.3832610038225,0.02643743320859,37.8546273981919,0.049098090010625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,279,133,1333,145,30,1,5,193,349,63,117
48453000401,Texas,Travis,True,3574,1730,False,195,0.0545607,False,True,False,False,False,True,25.1,110357,False,True,False,True,False,False,False,False,0,894.013408131897,0,0,651.947058003395,0,894.013408131897,0.250143650848321,651.947058003395,0.182413838277391,16.7886354289948,0.004697435766367,9.03898867499083,0.002529095879964,582.087480098009,0.162867230021827,25.2994700670242,0.007078754915228,206.031356753315,0.057647273853754,0,0,2.53532798215746,0.000709381080626,78.0597644932568,0.021841008531969,144.664909113198,0.040477031089311,58.7327569191693,0.033949570473508,12.7191002008039,0.007352081040927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306,254,148,2732,131,443,0,11,257,445,136,49
48453000402,Texas,Travis,True,2606,1267,False,173,0.0663853,False,False,False,False,False,True,19.3999999999999,52019,False,False,False,False,False,False,False,False,0,289.066811501979,0,0,133.804778084158,0,289.066811501979,0.1109235654267,133.804778084158,0.051344887983177,39.2363676205277,0.015056165625682,37.8864919058978,0.014538178014543,150.110440209507,0.057601857332889,94.4968315213918,0.036261255380427,4.41788351163268,0.001695273795715,0,0,0.926398523151875,0.000355486770204,39.115261003375,0.015009693401142,63.5706549361348,0.024393958148939,7.86991892941296,0.00621145929709,13.2433498110622,0.010452525502022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,277,349,1631,595,59,1,16,304,552,66,134
48453000500,Texas,Travis,True,4518,2540,False,77,0.0170429,False,True,False,True,True,True,38.7999999999999,71974,False,True,False,True,False,False,False,True,0,1612.34869307279,0,0,890.49275874719,0,1612.34869307279,0.356872220688977,890.49275874719,0.197098884184858,142.053583640605,0.031441696246261,62.4851423949003,0.013830266134329,1365.99344035983,0.302344718981813,32.4323385274037,0.007178472449625,115.036483429372,0.025461815721419,1,0.000221336874723,7.32268814276903,0.001620780908094,90.563748604618,0.020045097079375,178.544109959155,0.039518395298618,102.002173073589,0.040158335855744,16.398760988377,0.006456205113534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2549,251,140,3680,70,471,4,22,271,545,286,46
48453000601,Texas,Travis,True,9207,433,True,8396,0.9119148,True,True,True,False,False,True,74.0999999999999,14777,True,True,True,True,True,False,False,False,519.956161499023,6854.87920618057,519.956161499023,501.048659324646,6605.61094802618,501.048659324646,6854.87920618057,0.74452907637456,6605.61094802618,0.717455300100595,39.722424134612,0.004314372122799,0,0,4070.35042572021,0.442093018976889,431.698213160037,0.046888043136748,1580.33594775199,0.171645047002498,4.29158073663711,0.000466121509356,12.3612120430916,0.001342588469978,755.841827537864,0.082094257362644,1524.2845390737,0.16555713468814,5.92424249649047,0.013681853340625,0.69696968793869,0.001609629764293,519.956161499023,0.05647400472456,501.048659324646,0.054420403967052,3.54377317428588,0.000384899877733,0,0,370.145862579345,0.04020265695442,30.4149231910705,0.003303456412628,85.050552368164,0.009237596651261,0,0,0.590628862380981,0.000064149979622,33.7541920170187,0.003666144457154,77.9908195137977,0.008470817803171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732,76,2,5757,518,1961,5,17,949,1972,41,12
48453000603,Texas,Travis,True,7793,3236,False,821,0.105351,False,True,False,True,True,True,84.5,10929,False,True,False,True,False,False,False,True,0,2746.32083404064,0,0,2541.4219443798,0,2746.32083404064,0.352408678819536,2541.4219443798,0.326115994402644,24.48255979456,0.003141609110042,10.1387362480163,0.001301005549598,2094.69622027873,0.268792021080295,32.6619323939085,0.004191188553049,480.224241912364,0.061622512756623,1.06572913564741,0.000136754669017,2.54771494865417,0.00032692351452,135.124966561794,0.017339274549184,269.070732682943,0.034527233758879,135.792079567909,0.041962941770058,16.2402045745402,0.005018604627485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6111,51,17,5791,160,1361,10,14,457,972,279,34
48453000604,Texas,Travis,True,6496,2164,False,2195,0.3379003,False,True,False,True,True,True,81.5,7083,False,True,False,True,False,False,False,True,0,6277.37491811248,0,0,6029.55718465665,0,6277.37491811248,0.966344661039483,6029.55718465665,0.928195379411431,49.5035030896812,0.007620613160357,16.9554020110517,0.002610129619928,4227.51588867723,0.650787544439229,144.423515744865,0.022232684074025,1452.17868491292,0.223549674401621,1,0.0001539408867,13.981090195477,0.002152261421718,438.27570416472,0.067468550517968,827.419352918505,0.127373668860607,424.2542099937,0.196050928832579,23.1205724862869,0.010684183219171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070,60,20,4400,146,1479,1,14,456,852,330,19
48453000700,Texas,Travis,True,1339,717,False,198,0.1478715,False,False,False,False,False,False,17.8999999999999,118750,False,True,False,True,False,False,False,False,2.1761131286621,1180.92641843482,2.1761131286621,0.696738004684448,378.103629836812,0.696738004684448,1180.92641843482,0.881946541026758,378.103629836812,0.282377617503221,62.3672301704064,0.046577468387159,135.881506011821,0.101479840188067,908.521408967673,0.678507400274588,68.1124435912352,0.050868143085314,120.093334195669,0.089688823148372,1,0.000746825989544,7.05622152984142,0.005269769626469,76.1430017319507,0.056865572615348,169.960961482487,0.126931263243083,67.0900135324336,0.09357045123073,51.9711371839512,0.072484152278872,2.1761131286621,0.001625177840674,0.696738004684448,0.000520342049802,0,0,0,0,2.1761131286621,0.001625177840674,0,0,0,0,0,0,0,0,0,0,0,0,0.234452247619629,0.000326990582454,0.181617945432663,0.000253302573825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,71,148,1053,70,126,1,8,81,193,71,55
48453000801,Texas,Travis,True,1498,550,False,66,0.0440587,False,True,False,False,False,True,19.3,44531,False,True,False,True,False,False,False,False,0,594.6388695091,0,0,323.309540981426,0,594.6388695091,0.396955186588185,323.309540981426,0.215827463939537,141.06528036762,0.094169079017103,83.1560672405175,0.05551139335148,323.410106342285,0.215894597024223,53.36779332906,0.03562603025972,1.86928249755874,0.001247852134552,0,0,16.5405210256576,0.011041736332215,199.451175697147,0.1331449771009,432.192831240594,0.288513238478367,34.3810267013031,0.062510957638733,55.4637320130132,0.100843149114569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,297,318,766,182,6,0,38,506,1062,106,171
48453000802,Texas,Travis,True,3067,1122,False,11,0.0035866,False,True,False,False,False,True,48.5,24125,False,True,False,True,False,False,False,False,0,893.219240307807,0,0,655.391285657882,0,893.219240307807,0.291235487547378,655.391285657882,0.213691322353402,394.105282764881,0.128498624964096,49.2410135865211,0.016055107136133,262.296870131045,0.085522292184886,323.749087914824,0.105558880963425,6.12603250332176,0.001997402185628,0,0,7.80334196239709,0.002544291477795,293.243902862071,0.095612619126858,483.574105247855,0.15767007018189,65.7020286284387,0.058557957779357,154.993908397853,0.138140738322507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2261,991,257,1073,1204,21,0,26,743,1283,305,623
